trip_id,pattern_id,pattern_name
13401684,280847,EB2
13401686,280847,EB2
13401697,280847,EB2
13401699,280847,EB2
13401703,280847,EB2
13401706,280847,EB2
13401709,280847,EB2
13401717,280847,EB2
13401720,280847,EB2
13401722,280847,EB2
13401724,280847,EB2
13401727,280847,EB2
13401728,280847,EB2
13401730,280847,EB2
13401735,280847,EB2
13401737,280847,EB2
13401747,280847,EB2
13401749,280847,EB2
13401750,280847,EB2
13401751,280847,EB2
13401752,280847,EB2
13401758,280847,EB2
13401763,280847,EB2
13401767,280847,EB2
13401770,280847,EB2
13401774,280847,EB2
13401775,280847,EB2
13401795,280847,EB2
13401802,280847,EB2
13401807,280847,EB2
13401810,280847,EB2
13401813,280847,EB2
13401966,280847,EB2
13401967,280847,EB2
13401969,280847,EB2
13401988,280847,EB2
13401989,280847,EB2
13401990,280847,EB2
13401991,280847,EB2
13401993,280847,EB2
13402006,280847,EB2
13402007,280847,EB2
13402008,280847,EB2
13402009,280847,EB2
13402013,280847,EB2
13402014,280847,EB2
13402015,280847,EB2
13402019,280847,EB2
13402020,280847,EB2
13402021,280847,EB2
13402032,280847,EB2
13402033,280847,EB2
13402034,280847,EB2
13402038,280847,EB2
13402039,280847,EB2
13402040,280847,EB2
13402043,280847,EB2
13402044,280847,EB2
13402045,280847,EB2
13402046,280847,EB2
13402154,280847,EB2
13402157,280847,EB2
13402158,280847,EB2
13402159,280847,EB2
13402164,280847,EB2
13402191,280847,EB2
13402193,280847,EB2
13402195,280847,EB2
13402200,280847,EB2
13402201,280847,EB2
13402208,280847,EB2
13402209,280847,EB2
13402210,280847,EB2
13402211,280847,EB2
13402212,280847,EB2
13402213,280847,EB2
13402214,280847,EB2
13402215,280847,EB2
13402217,280847,EB2
13402218,280847,EB2
13402223,280847,EB2
13402224,280847,EB2
13402230,280847,EB2
13402236,280847,EB2
13402237,280847,EB2
13402238,280847,EB2
13402239,280847,EB2
13402241,280847,EB2
13463660,280847,EB2
13464005,280847,EB2
13401682,280848,EB1
13401683,280848,EB1
13401685,280848,EB1
13401688,280848,EB1
13401690,280848,EB1
13401691,280848,EB1
13401692,280848,EB1
13401693,280848,EB1
13401694,280848,EB1
13401696,280848,EB1
13401698,280848,EB1
13401700,280848,EB1
13401701,280848,EB1
13401702,280848,EB1
13401705,280848,EB1
13401707,280848,EB1
13401708,280848,EB1
13401711,280848,EB1
13401712,280848,EB1
13401714,280848,EB1
13401716,280848,EB1
13401718,280848,EB1
13401719,280848,EB1
13401721,280848,EB1
13401723,280848,EB1
13401725,280848,EB1
13401726,280848,EB1
13401729,280848,EB1
13401731,280848,EB1
13401733,280848,EB1
13401739,280848,EB1
13401740,280848,EB1
13401741,280848,EB1
13401742,280848,EB1
13401743,280848,EB1
13401744,280848,EB1
13401745,280848,EB1
13401746,280848,EB1
13401748,280848,EB1
13401753,280848,EB1
13401755,280848,EB1
13401756,280848,EB1
13401759,280848,EB1
13401761,280848,EB1
13401762,280848,EB1
13401766,280848,EB1
13401768,280848,EB1
13401769,280848,EB1
13401771,280848,EB1
13401772,280848,EB1
13401776,280848,EB1
13401777,280848,EB1
13401778,280848,EB1
13401780,280848,EB1
13401781,280848,EB1
13401783,280848,EB1
13401784,280848,EB1
13401786,280848,EB1
13401787,280848,EB1
13401788,280848,EB1
13401789,280848,EB1
13401790,280848,EB1
13401791,280848,EB1
13401792,280848,EB1
13401793,280848,EB1
13401794,280848,EB1
13401796,280848,EB1
13401798,280848,EB1
13401799,280848,EB1
13401800,280848,EB1
13401801,280848,EB1
13401804,280848,EB1
13401805,280848,EB1
13401806,280848,EB1
13401808,280848,EB1
13401809,280848,EB1
13401811,280848,EB1
13401812,280848,EB1
13401815,280848,EB1
13401948,280848,EB1
13401949,280848,EB1
13401950,280848,EB1
13401951,280848,EB1
13401952,280848,EB1
13401953,280848,EB1
13401954,280848,EB1
13401955,280848,EB1
13401956,280848,EB1
13401957,280848,EB1
13401958,280848,EB1
13401959,280848,EB1
13401961,280848,EB1
13401962,280848,EB1
13401963,280848,EB1
13401965,280848,EB1
13401970,280848,EB1
13401971,280848,EB1
13401973,280848,EB1
13401974,280848,EB1
13401975,280848,EB1
13401976,280848,EB1
13401977,280848,EB1
13401978,280848,EB1
13401979,280848,EB1
13401980,280848,EB1
13401981,280848,EB1
13401982,280848,EB1
13401983,280848,EB1
13401984,280848,EB1
13401985,280848,EB1
13401986,280848,EB1
13401987,280848,EB1
13401994,280848,EB1
13401995,280848,EB1
13401996,280848,EB1
13401997,280848,EB1
13401998,280848,EB1
13401999,280848,EB1
13402001,280848,EB1
13402002,280848,EB1
13402003,280848,EB1
13402005,280848,EB1
13402010,280848,EB1
13402011,280848,EB1
13402012,280848,EB1
13402016,280848,EB1
13402017,280848,EB1
13402018,280848,EB1
13402022,280848,EB1
13402023,280848,EB1
13402024,280848,EB1
13402026,280848,EB1
13402028,280848,EB1
13402029,280848,EB1
13402030,280848,EB1
13402031,280848,EB1
13402035,280848,EB1
13402036,280848,EB1
13402037,280848,EB1
13402041,280848,EB1
13402042,280848,EB1
13402047,280848,EB1
13402048,280848,EB1
13402049,280848,EB1
13402155,280848,EB1
13402156,280848,EB1
13402160,280848,EB1
13402161,280848,EB1
13402162,280848,EB1
13402163,280848,EB1
13402165,280848,EB1
13402166,280848,EB1
13402167,280848,EB1
13402168,280848,EB1
13402169,280848,EB1
13402170,280848,EB1
13402171,280848,EB1
13402172,280848,EB1
13402173,280848,EB1
13402174,280848,EB1
13402175,280848,EB1
13402176,280848,EB1
13402177,280848,EB1
13402178,280848,EB1
13402179,280848,EB1
13402180,280848,EB1
13402181,280848,EB1
13402182,280848,EB1
13402183,280848,EB1
13402184,280848,EB1
13402185,280848,EB1
13402186,280848,EB1
13402187,280848,EB1
13402188,280848,EB1
13402189,280848,EB1
13402190,280848,EB1
13402192,280848,EB1
13402194,280848,EB1
13402197,280848,EB1
13402198,280848,EB1
13402203,280848,EB1
13402204,280848,EB1
13402205,280848,EB1
13402206,280848,EB1
13402207,280848,EB1
13402216,280848,EB1
13402219,280848,EB1
13402220,280848,EB1
13402221,280848,EB1
13402222,280848,EB1
13402225,280848,EB1
13402226,280848,EB1
13402227,280848,EB1
13402228,280848,EB1
13402229,280848,EB1
13402231,280848,EB1
13402232,280848,EB1
13402233,280848,EB1
13402234,280848,EB1
13402235,280848,EB1
13402240,280848,EB1
13402242,280848,EB1
13402243,280848,EB1
13402244,280848,EB1
13402245,280848,EB1
13402246,280848,EB1
13402247,280848,EB1
13402248,280848,EB1
13402249,280848,EB1
13463656,280848,EB1
13463661,280848,EB1
13463662,280848,EB1
13464001,280848,EB1
13464003,280848,EB1
13464007,280848,EB1
13401820,280849,WB2
13401827,280849,WB2
13401830,280849,WB2
13401832,280849,WB2
13401833,280849,WB2
13401834,280849,WB2
13401846,280849,WB2
13401849,280849,WB2
13401851,280849,WB2
13401857,280849,WB2
13401863,280849,WB2
13401871,280849,WB2
13401883,280849,WB2
13401884,280849,WB2
13401887,280849,WB2
13401897,280849,WB2
13401898,280849,WB2
13401900,280849,WB2
13401903,280849,WB2
13401905,280849,WB2
